Adult diabetes,Employment-based health insurance,Annual dental cleaning rate,Primary care provider rate,Routine checkup rate,Health care satisfaction rate,Eviction rate,Adult loneliness rate,Moderate or serious psychological distress rate,unmet mh trt mod to ser,unmet mh trt mod to ser,Hypertension rate,"Median household income, 2020-2024",Hardship Index,"Demographics, White",Ambulatory difficulty,population,diabetes ratio
700.0,35.73888845496997,33.188833503,77.109899682,76.007274292,52.499404931,0.575473618592184,42.935011764,45.140951325,82.281693118,95.66605134,41.938295395,22023.81053747795,96.8884611449431,3.3653592131831442,33.86644138,2340.517806,0.29907911753780525
2400.0,49.991406382154224,61.377429178,84.95470014,85.506958689,56.977203186,1.312664765073987,35.611817313,36.321482945,74.748821358,75.77959637,49.777871021,58522.89942984056,77.7903869241361,5.5919246491059615,13.6190175,25177.24906,0.09532415532294854
1100.0,59.62348798887663,63.908300734,81.685038162,80.892540311,43.340298817,1.4460446313922468,26.048061127,49.197061844,68.230777303,64.36468078,39.198142373,73799.33922476385,52.508517738230786,20.51567216630005,11.63944656,18427.5253,0.05969331107091194
2300.0,66.47071701281465,57.360159501,76.713559572,66.152012137,55.35207473,0.17467920556523725,26.596807522,37.520471239,67.345849406,,23.402393524,91363.09353886107,23.192702125306457,62.078651441070555,6.216416997,41565.11288,0.055334867167092364
1000.0,31.479387125301475,67.420614691,68.047114431,80.689774163,50.493238409,2.293944447722499,37.799527977,51.647062216,89.828758396,96.69321791,31.468838969,37542.62252253063,89.9155296144411,1.9734400742447922,16.91089621,12314.66841,0.08120397291314481
2600.0,44.62309577926482,61.927468718,84.427422847,77.886205201,55.338735995,1.9891918901811643,34.190136551,47.039695092,78.475379514,75.21276421,31.220956897,42469.38244910356,78.20454863918856,10.618616960328742,9.964781645,24802.5642,0.10482787098279137
5200.0,39.50968056412676,59.364987133,78.473624015,80.816542045,51.330968059,2.771317678771667,37.405474002,50.492553906,86.322497719,60.93041747,40.619611612,45587.395930458966,82.90628362558722,3.3237550805310936,15.11501314,51377.59421,0.10121143428292104
3200.0,42.81930241400822,59.486618342,87.596656071,82.714173778,57.99631267,2.682393817235711,25.436724422,42.678539691,82.638076118,59.20337769,45.417409876,48332.46061953288,77.61276311075105,1.163842639258849,12.10256903,30021.41506,0.10659057854550046
900.0,57.23497256566442,47.949894754,84.38968044,83.663773686,49.944711064,1.4434835816153522,27.415058664,38.107870577,88.679161789,71.76617289,39.546465223,60547.83129661174,65.86539945795128,0.012814310250511537,14.09912335,8939.367648,0.10067826220363099
5100.0,33.987479444149656,49.096730308,69.502285947,85.112724064,54.596951749,2.502221007092567,33.912501796,49.181306683,93.722268404,81.58407358,33.728516132,45124.71781639679,86.25358838963794,4.930347620910509,10.12168483,27507.14761,0.18540635591550528
